Order,Lot Frontage,Lot Area,Overall Qual,Year Built,Mas Vnr Area,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Yr Sold,SalePrice
1,141,31770,6,1960,112,1080,1656,1656,1,7,2,1960,2,528,2010,215000
2,80,11622,5,1961,,882,896,896,1,5,0,1961,1,730,2010,105000
3,81,14267,6,1958,108,1329,1329,1329,1,6,0,1958,1,312,2010,172000
4,93,11160,7,1968,,2110,2110,2110,2,8,2,1968,2,522,2010,244000
5,74,13830,5,1997,,928,928,1629,2,6,1,1997,2,482,2010,189900
6,78,9978,6,1998,20,926,926,1604,2,7,1,1998,2,470,2010,195500
7,41,4920,8,2001,,1338,1338,1338,2,6,0,2001,2,582,2010,213500
8,43,5005,8,1992,,1280,1280,1280,2,5,0,1992,2,506,2010,191500
9,39,5389,8,1995,,1595,1616,1616,2,5,1,1995,2,608,2010,236500
10,60,7500,7,1999,,994,1028,1804,2,7,1,1999,2,442,2010,189000
11,75,10000,6,1993,,763,763,1655,2,7,1,1993,2,440,2010,175900
12,,7980,6,1992,,1168,1187,1187,2,6,0,1992,2,420,2010,185000
13,63,8402,6,1998,,789,789,1465,2,7,1,1998,2,393,2010,180400
14,85,10176,7,1990,,1300,1341,1341,1,5,1,1990,2,506,2010,171500
15,,6820,8,1985,,1488,1502,1502,1,4,0,1985,2,528,2010,212000
16,47,53504,8,2003,603,1650,1690,3279,3,12,1,2003,3,841,2010,538000
17,152,12134,8,1988,,559,1080,1752,2,8,0,1988,2,492,2010,164000
18,88,11394,9,2010,350,1856,1856,1856,1,8,1,2010,3,834,2010,394432
19,140,19138,4,1951,,864,864,864,1,4,0,1951,2,400,2010,141000
20,85,13175,6,1978,119,1542,2073,2073,2,7,2,1978,2,500,2010,210000
21,105,11751,6,1977,480,1844,1844,1844,2,7,1,1977,2,546,2010,190000
22,85,10625,7,1974,81,1053,1173,1173,2,6,2,1974,2,528,2010,170000
23,,7500,7,2000,,814,814,1674,2,7,0,2000,2,663,2010,216000
24,,11241,6,1970,180,1004,1004,1004,1,5,1,1970,2,480,2010,149000
25,,12537,5,1971,,1078,1078,1078,1,6,1,1971,2,500,2010,149900
26,65,8450,5,1968,,1056,1056,1056,1,6,1,1968,1,304,2010,142000
27,70,8400,4,1970,,882,882,882,1,4,0,1970,2,525,2010,126000
28,70,10500,4,1971,,864,864,864,1,5,1,,0,0,2010,115000
29,26,5858,7,1999,,1405,1337,1337,2,5,1,1999,2,511,2010,184000
30,21,1680,6,1971,504,483,483,987,1,5,0,1971,1,264,2010,96000
31,21,1680,5,1971,492,525,525,1092,1,6,0,1997,1,320,2010,105500
32,21,1680,6,1971,381,525,525,1092,1,6,0,1971,1,264,2010,88000
33,53,4043,6,1977,,1069,1069,1069,2,4,1,1977,2,440,2010,127500
34,24,2280,6,1975,,855,855,1456,2,6,1,1975,2,440,2010,149900
