League,Year,Decade,RS,RA,RD,W,OBP,SLG,BA,Playoffs,G,OOBP,OSLG
1,2012,2010,734,688,46,81,0.328,0.418,0.259,0,162,0.317,0.415
1,2012,2010,700,600,100,94,0.32,0.389,0.247,1,162,0.306,0.378
0,2012,2010,712,705,7,93,0.311,0.417,0.247,1,162,0.315,0.403
0,2012,2010,734,806,-72,69,0.315,0.415,0.26,0,162,0.331,0.428
1,2012,2010,613,759,-146,61,0.302,0.378,0.24,0,162,0.335,0.424
0,2012,2010,748,676,72,85,0.318,0.422,0.255,0,162,0.319,0.405
1,2012,2010,669,588,81,97,0.315,0.411,0.251,1,162,0.305,0.39
0,2012,2010,667,845,-178,68,0.324,0.381,0.251,0,162,0.336,0.43
1,2012,2010,758,890,-132,64,0.33,0.436,0.274,0,162,0.357,0.47
0,2012,2010,726,670,56,88,0.335,0.422,0.268,1,162,0.314,0.402
1,2012,2010,583,794,-211,55,0.302,0.371,0.236,0,162,0.337,0.427
0,2012,2010,676,746,-70,72,0.317,0.4,0.265,0,162,0.339,0.423
0,2012,2010,767,699,68,89,0.332,0.433,0.274,0,162,0.31,0.403
1,2012,2010,637,597,40,86,0.317,0.374,0.252,0,162,0.31,0.364
1,2012,2010,609,724,-115,69,0.308,0.382,0.244,0,162,0.327,0.399
1,2012,2010,776,733,43,83,0.325,0.437,0.259,0,162,0.326,0.414
0,2012,2010,701,832,-131,66,0.325,0.39,0.26,0,162,0.333,0.442
1,2012,2010,650,709,-59,74,0.316,0.386,0.249,0,162,0.315,0.401
0,2012,2010,804,668,136,95,0.337,0.453,0.265,1,162,0.311,0.419
0,2012,2010,713,614,99,94,0.31,0.404,0.238,1,162,0.306,0.378
1,2012,2010,684,680,4,81,0.317,0.4,0.255,0,162,0.306,0.407
1,2012,2010,651,674,-23,79,0.304,0.395,0.243,0,162,0.314,0.39
1,2012,2010,651,710,-59,76,0.319,0.38,0.247,0,162,0.319,0.398
0,2012,2010,619,651,-32,75,0.296,0.369,0.234,0,162,0.308,0.394
1,2012,2010,718,649,69,94,0.327,0.397,0.269,1,162,0.313,0.393
1,2012,2010,765,648,117,88,0.338,0.421,0.271,1,162,0.313,0.387
0,2012,2010,697,577,120,90,0.317,0.394,0.24,0,162,0.294,0.352
0,2012,2010,808,707,101,93,0.334,0.446,0.273,1,162,0.309,0.408
0,2012,2010,716,784,-68,73,0.309,0.407,0.245,0,162,0.335,0.438
1,2012,2010,731,594,137,98,0.322,0.428,0.261,1,162,0.303,0.373
1,2011,2010,731,662,69,94,0.322,0.413,0.25,1,162,0.316,0.409
1,2011,2010,641,605,36,89,0.308,0.387,0.243,0,162,0.31,0.361
0,2011,2010,708,860,-152,69,0.316,0.413,0.257,0,162,0.341,0.46
0,2011,2010,875,737,138,90,0.349,0.461,0.28,0,162,0.322,0.392
1,2011,2010,654,756,-102,71,0.314,0.401,0.256,0,162,0.335,0.413
0,2011,2010,654,706,-52,79,0.319,0.388,0.252,0,162,0.317,0.397
1,2011,2010,735,720,15,79,0.326,0.408,0.256,0,162,0.325,0.415
0,2011,2010,704,760,-56,80,0.317,0.396,0.25,0,162,0.323,0.413
1,2011,2010,735,774,-39,73,0.329,0.41,0.258,0,162,0.331,0.431
0,2011,2010,787,711,76,95,0.34,0.434,0.277,1,162,0.321,0.396
1,2011,2010,625,702,-77,72,0.318,0.388,0.247,0,162,0.316,0.401
1,2011,2010,615,796,-181,56,0.311,0.374,0.258,0,162,0.337,0.432
0,2011,2010,730,762,-32,71,0.329,0.415,0.275,0,162,0.337,0.425
0,2011,2010,667,633,34,86,0.313,0.402,0.253,0,162,0.313,0.388
1,2011,2010,644,612,32,82,0.322,0.375,0.257,0,161,0.31,0.371
1,2011,2010,721,638,83,96,0.325,0.425,0.261,1,162,0.304,0.385
0,2011,2010,619,804,-185,63,0.306,0.36,0.247,0,162,0.34,0.435
1,2011,2010,718,742,-24,77,0.335,0.391,0.264,0,162,0.332,0.411
0,2011,2010,867,657,210,97,0.343,0.444,0.263,1,162,0.322,0.399
0,2011,2010,645,679,-34,74,0.311,0.369,0.244,0,162,0.317,0.378
1,2011,2010,713,529,184,102,0.323,0.395,0.253,1,162,0.296,0.361
1,2011,2010,610,712,-102,72,0.309,0.368,0.244,0,162,0.338,0.409
1,2011,2010,593,611,-18,71,0.305,0.349,0.237,0,162,0.314,0.375
0,2011,2010,556,675,-119,67,0.292,0.348,0.233,0,162,0.31,0.386
1,2011,2010,570,578,-8,86,0.303,0.368,0.242,0,162,0.309,0.346
1,2011,2010,762,692,70,90,0.341,0.425,0.273,1,162,0.319,0.398
0,2011,2010,707,614,93,91,0.322,0.402,0.244,1,162,0.303,0.383
0,2011,2010,855,677,178,96,0.34,0.46,0.283,1,162,0.307,0.392
0,2011,2010,743,761,-18,81,0.317,0.413,0.249,0,162,0.328,0.419
1,2011,2010,624,643,-19,80,0.309,0.383,0.242,0,161,0.319,0.382
1,2010,2010,713,836,-123,65,0.325,0.416,0.25,0,162,0.34,0.448
1,2010,2010,738,629,109,91,0.339,0.401,0.258,1,162,0.314,0.376
0,2010,2010,613,785,-172,66,0.316,0.386,0.259,0,162,0.336,0.434
0,2010,2010,818,744,74,89,0.339,0.451,0.268,0,162,0.327,0.399
1,2010,2010,685,767,-82,75,0.32,0.401,0.257,0,162,0.334,0.398
0,2010,2010,752,704,48,88,0.332,0.42,0.268,0,162,0.325,0.395
1,2010,2010,790,685,105,91,0.338,0.436,0.272,1,162,0.323,0.396
0,2010,2010,646,752,-106,69,0.322,0.378,0.248,0,162,0.342,0.416
1,2010,2010,770,717,53,83,0.336,0.425,0.263,0,162,0.326,0.397
0,2010,2010,751,743,8,81,0.335,0.415,0.268,0,162,0.332,0.4
