id,Year_of_Release,Genre,Total_Sales,N_of_Games,Avg_Sales
1,1980,Action,0.34,1,0.34
2,1981,Action,14.79,25,0.5916
3,1982,Action,6.5,18,0.361111111
4,1983,Action,2.86,7,0.408571429
5,1984,Action,1.85,1,1.85
6,1985,Action,3.5,1,3.5
7,1986,Action,13.74,6,2.29
8,1987,Action,1.11,2,0.555
9,1988,Action,1.74,2,0.87
10,1989,Action,4.65,2,2.325
11,1990,Action,6.39,3,2.13
12,1991,Action,6.76,5,1.352
13,1992,Action,3.84,1,3.84
14,1993,Action,1.81,6,0.301666667
15,1994,Action,1.55,4,0.3875
16,1995,Action,3.58,8,0.4475
17,1996,Action,20.6,20,1.03
18,1997,Action,27.59,31,0.89
19,1998,Action,39.41,44,0.895681818
20,1999,Action,27.73,40,0.69325
21,2000,Action,33.98,44,0.772272727
22,2001,Action,59.38,67,0.886268657
23,2002,Action,86.65,125,0.6932
24,2003,Action,67.98,144,0.472083333
25,2004,Action,76.13,125,0.60904
26,2005,Action,85.39,192,0.444739583
27,2006,Action,66.06,184,0.359021739
28,2007,Action,104.85,210,0.499285714
29,2008,Action,134.96,221,0.610678733
30,2009,Action,137.69,272,0.506213235
31,2010,Action,115.29,226,0.510132743
32,2011,Action,116.68,238,0.490252101
33,2012,Action,119.25,265,0.45
34,2013,Action,122.51,147,0.833401361
35,2014,Action,97.23,188,0.517180851
36,2015,Action,72.02,253,0.284664032
37,2016,Action,30.11,178,0.169157303
38,1980,Adventure,0,0,0
39,1981,Adventure,0,0,0
40,1982,Adventure,0,0,0
41,1983,Adventure,0.4,1,0.4
42,1984,Adventure,0,0,0
43,1985,Adventure,0,0,0
44,1986,Adventure,0,0,0
45,1987,Adventure,4.38,1,4.38
46,1988,Adventure,0,0,0
47,1989,Adventure,0,0,0
48,1990,Adventure,0,0,0
49,1991,Adventure,2.24,2,1.12
50,1992,Adventure,12.25,4,3.0625
51,1993,Adventure,0.07,1,0.07
52,1994,Adventure,3.74,4,0.935
53,1995,Adventure,0.51,11,0.046363636
54,1996,Adventure,4.18,17,0.245882353
55,1997,Adventure,4.97,14,0.355
56,1998,Adventure,9.04,23,0.393043478
57,1999,Adventure,7.61,19,0.400526316
58,2000,Adventure,2.96,16,0.185
59,2001,Adventure,9.14,21,0.435238095
60,2002,Adventure,11.09,42,0.264047619
61,2003,Adventure,2.12,12,0.176666667
62,2004,Adventure,8.62,38,0.226842105
63,2005,Adventure,8.46,42,0.201428571
64,2006,Adventure,11.36,71,0.16
65,2007,Adventure,24.13,83,0.290722892
66,2008,Adventure,24.63,166,0.148373494
67,2009,Adventure,20.23,140,0.1445
68,2010,Adventure,15.96,153,0.104313725
69,2011,Adventure,15.61,108,0.144537037
70,2012,Adventure,5.79,57,0.101578947
71,2013,Adventure,6.09,60,0.1015
72,2014,Adventure,5.57,75,0.074266667
