id,Year_of_Release,Platform,Total_Sales
1,1980,2600,11.38
2,1981,2600,35.68
3,1982,2600,28.88
4,1983,2600,5.84
5,1984,2600,0.27
6,1985,2600,0.45
7,1986,2600,0.67
8,1987,2600,1.94
9,1988,2600,0.74
10,1989,2600,0.63
11,1990,2600,0
12,1991,2600,0
13,1992,2600,0
14,1993,2600,0
15,1994,2600,0
16,1995,2600,0
17,1996,2600,0
18,1997,2600,0
19,1998,2600,0
20,1999,2600,0
21,2000,2600,0
22,2001,2600,0
23,2002,2600,0
24,2003,2600,0
25,2004,2600,0
26,2005,2600,0
27,2006,2600,0
28,2007,2600,0
29,2008,2600,0
30,2009,2600,0
31,2010,2600,0
32,2011,2600,0
33,2012,2600,0
34,2013,2600,0
35,2014,2600,0
36,2015,2600,0
37,2016,2600,0
38,1980,3DS,0
39,1981,3DS,0
40,1982,3DS,0
41,1983,3DS,0
42,1984,3DS,0
43,1985,3DS,0
44,1986,3DS,0
45,1987,3DS,0
46,1988,3DS,0
47,1989,3DS,0
48,1990,3DS,0
49,1991,3DS,0
50,1992,3DS,0
51,1993,3DS,0
52,1994,3DS,0
53,1995,3DS,0
54,1996,3DS,0
55,1997,3DS,0
56,1998,3DS,0
57,1999,3DS,0
58,2000,3DS,0
59,2001,3DS,0
60,2002,3DS,0
61,2003,3DS,0
62,2004,3DS,0
63,2005,3DS,0
64,2006,3DS,0
65,2007,3DS,0
66,2008,3DS,0
67,2009,3DS,0
68,2010,3DS,0
69,2011,3DS,63.2
70,2012,3DS,51.36
71,2013,3DS,56.57
72,2014,3DS,43.76
73,2015,3DS,27.78
74,2016,3DS,15.14
75,1980,DC,0
76,1981,DC,0
77,1982,DC,0
78,1983,DC,0
79,1984,DC,0
80,1985,DC,0
81,1986,DC,0
82,1987,DC,0
83,1988,DC,0
84,1989,DC,0
85,1990,DC,0
86,1991,DC,0
87,1992,DC,0
88,1993,DC,0
89,1994,DC,0
90,1995,DC,0
91,1996,DC,0
92,1997,DC,0
93,1998,DC,3.38
94,1999,DC,5.16
95,2000,DC,5.99
96,2001,DC,1.07
97,2002,DC,0.29
98,2003,DC,0
99,2004,DC,0
100,2005,DC,0
101,2006,DC,0
102,2007,DC,0.02
103,2008,DC,0.04
104,2009,DC,0
105,2010,DC,0
106,2011,DC,0
107,2012,DC,0
108,2013,DC,0
109,2014,DC,0
110,2015,DC,0
111,2016,DC,0
112,1980,DS,0
113,1981,DS,0
114,1982,DS,0
115,1983,DS,0
116,1984,DS,0
117,1985,DS,0
118,1986,DS,0
119,1987,DS,0
120,1988,DS,0
121,1989,DS,0
122,1990,DS,0
123,1991,DS,0
124,1992,DS,0
125,1993,DS,0
126,1994,DS,0
127,1995,DS,0
128,1996,DS,0
129,1997,DS,0
130,1998,DS,0
131,1999,DS,0
132,2000,DS,0
133,2001,DS,0
134,2002,DS,0
135,2003,DS,0
136,2004,DS,17.27
137,2005,DS,130.14
138,2006,DS,119.81
139,2007,DS,146.94
140,2008,DS,145.31
141,2009,DS,119.54
142,2010,DS,85.02
143,2011,DS,26.18
144,2012,DS,11.01
145,2013,DS,1.54
146,2014,DS,0
147,2015,DS,0
148,2016,DS,0
149,1980,GB,0
150,1981,GB,0
151,1982,GB,0
152,1983,GB,0
153,1984,GB,0
154,1985,GB,0
155,1986,GB,0
156,1987,GB,0
157,1988,GB,1.43
158,1989,GB,64.97
