Platform,Sales,# of Releases,Average Sales per Release
PS2,1255.77,2161,581.1059695
X360,971.42,1262,769.7464342
PS3,939.65,1331,705.9729527
Wii,907.51,1320,687.5075758
DS,806.1,2150,374.9302326
PS,730.86,1197,610.5764411
GBA,317.85,822,386.6788321
PS4,314.14,392,801.377551
PSP,294.05,1209,243.2175352
PC,259.52,974,266.4476386
3DS,259,520,498.0769231
XB,257.74,824,312.7912621
GB,255.46,98,2606.734694
NES,251.05,98,2561.734694
N64,218.68,319,685.5172414
SNES,200.04,239,836.9874477
GC,198.93,556,357.7877698
XOne,159.32,247,645.0202429
